R,DeltaSigma,DeltaSigma_err
0.3112966226460602,34.77699937388208,19.827214453660527
0.428345379206537,33.57735688654376,14.803545819268429
0.5895829195295708,35.89535560716556,10.969977486472922
0.811265298610661,24.004261745760424,8.147637701148627
1.1163703463530517,25.1031248106644,6.008736146053477
1.5370364281999067,18.14006263825354,4.4082915001607965
2.1149463046353474,14.35047021761536,3.229222830511821
2.9109005231195644,5.160382902906853,2.35271157759272
4.005301985869169,3.041382857193582,1.7149105296521685
5.510244649299509,2.936821577639002,1.2497346444865058
7.581800315919476,1.9714327182687903,0.9121372740821636
10.43131315645296,1.6384787154697955,0.6655796614112651
14.35440837036096,0.4469294180751112,0.4863216008019688
19.75278202115557,0.3908048946618074,0.355232884558282
27.177399776887423,0.6413608964906466,0.2597239282222812
