R_Mpc,DeltaSigma_data,DeltaSigma_err,DeltaSigma_1h_unscaled,A1h_locked,DeltaSigma_1h_scaled,DeltaSigma_2h,DeltaSigma_total
0.3729327685968546,88219187.90761273,28236647.50493519,180481.58988561959,1.0,180481.58988561959,52697330.91917307,52877812.50905869
0.5134009032980582,58772895.83006285,21032598.529829208,107116.34334321646,1.0,107116.34334321646,50549118.075735845,50656234.41907906
0.7069197598840422,32525015.853151374,15635767.797306232,63546.47471037142,1.0,63546.47471037142,42137570.29462765,42201116.76933803
0.9728563994496756,37503647.41473507,11566468.954341924,37747.887421316016,1.0,37747.887421316016,34588892.87775471,34626640.76517603
1.3390545316161655,25029761.40737407,8515090.996833151,22410.13473617653,1.0,22410.13473617653,24573214.03799742,24595624.172733597
1.842641741631441,17121462.423590064,6241716.160481601,13316.414936173034,1.0,13316.414936173034,16533354.282368494,16546670.697304668
2.5355260762557634,10768138.69246985,4571355.940486948,7911.069793484808,1.0,7911.069793484808,9255401.942036845,9263313.01183033
3.489115318765132,6836479.32031697,3343082.532660387,4698.98924574396,1.0,4698.98924574396,4876156.296232397,4880855.285478141
4.801170509768673,7363248.112640038,2439481.412241122,2791.3664108633484,1.0,2791.3664108633484,2687579.8426951054,2690371.2091059685
6.606771462842435,5109450.067151636,1779023.9642109068,1658.1795402417756,1.0,1658.1795402417756,1743915.0968460985,1745573.2763863404
9.090728684677156,2122752.0531786387,1297049.159540164,985.0727809502253,1.0,985.0727809502253,1278237.6088283495,1279222.6816092997
12.508543950717383,3073441.1848949622,944277.7841295822,585.3787867061426,1.0,585.3787867061426,1000566.6436932153,1001152.0224799215
17.21084538742346,3610861.5616820473,688828.8814047428,347.776478218213,1.0,347.776478218213,807707.0247627817,808054.801241
23.680635513352016,1679252.789176668,502457.9910858314,316.53153720140267,1.0,316.53153720140267,661624.3362498024,661940.8677870037
32.58423786348785,720381.9883276712,367411.7995561591,316.53153720140267,1.0,316.53153720140267,526345.5584105069,526662.0899477083
