R,DS_1h
0.2050439475826448,146165.23689787966
0.2820941303562758,76597.71930414742
0.3885179508116123,39834.437202591624
0.5347225765234775,20648.497871342395
0.7358634710409107,10796.382190772296
1.012824479311858,5633.585205718936
1.3936196567983847,2926.695351296579
1.918507687576028,1522.159847272647
2.6401625606393626,796.2370419778752
3.6326100825317753,414.4579853668306
4.998118891827329,214.77551753287656
6.877509441223929,214.5890443226316
9.462138176133829,214.5890443226316
13.023443326547184,214.5890443226316
17.918353253637093,214.5890443226316
