lens,thetaE_GR,sigma_GR,thetaE_PFGM,sigma_PFGM
SDSSJ7.282417,3.48,229,,
SDSSJ9.471708,4.95,279,,
SDSSJ11.012083,1.72,266,,
SDSSJ34.218917,5.53,333,,
SDSSJ43.188375,4.4,164,,
SDSSJ52.550583,5.45,212,,
SDSSJ112.020625,4.21,214,,
SDSSJ114.368542,4.66,338,,
SDSSJ124.883042,2.73,225,,
SDSSJ125.676333,4.45,259,,
SDSSJ138.022125,4.58,326,,
SDSSJ143.933042,4.26,396,,
SDSSJ144.003208,3.45,243,,
SDSSJ146.736167,4.95,263,,
SDSSJ149.124083,5.05,334,,
SDSSJ149.933625,2.24,197,,
SDSSJ149.754,3.61,244,,
SDSSJ154.09525,3.13,247,,
SDSSJ155.110583,5.12,282,,
SDSSJ155.884417,4.5,242,,
SDSSJ157.345583,1.92,210,,
SDSSJ166.692292,2.17,262,,
SDSSJ168.210833,6.19,320,,
SDSSJ173.524542,2.93,239,,
SDSSJ175.738958,3.52,221,,
SDSSJ175.8735,3.27,269,,
SDSSJ178.294958,3.18,226,,
SDSSJ181.183625,3.68,267,,
SDSSJ181.4185,4.27,281,,
SDSSJ183.419083,3.13,292,,
SDSSJ184.61125,3.47,219,,
SDSSJ192.61775,4.18,252,,
SDSSJ196.556875,3.87,237,,
SDSSJ198.262208,4.25,263,,
SDSSJ199.663875,6.01,213,,
SDSSJ202.689708,1.32,185,,
SDSSJ210.617542,4.53,267,,
SDSSJ210.872875,2.62,213,,
SDSSJ214.093083,6.08,240,,
SDSSJ215.066042,1.26,205,,
SDSSJ217.517083,6.53,322,,
SDSSJ219.11475,4.8,224,,
SDSSJ220.83175,1.93,209,,
SDSSJ222.867458,2.33,223,,
SDSSJ231.277917,6.55,264,,
SDSSJ232.958625,4.71,279,,
SDSSJ234.553833,2.5,189,,
SDSSJ243.65725,2.54,182,,
SDSSJ245.387458,4.97,236,,
SDSSJ246.943542,4.18,290,,
SDSSJ247.617333,6.91,276,,
SDSSJ249.010917,3.96,231,,
SDSSJ251.179542,3.07,229,,
SDSSJ259.892333,3.89,286,,
SDSSJ339.6675,3.08,198,,
SDSSJ345.221458,4.51,279,,
SDSSJ345.8405,4.35,255,,
SDSSJ350.337208,2.47,249,,
SDSSJ355.298208,4.5,207,,
