Galaxy,R_kpc,V_obs_kms,V_baryon_kms
F571-8_rotmod,0.22,12.4,38.3010508994205
F571-8_rotmod,0.78,37.5,85.73158694436958
F571-8_rotmod,1.33,56.5,104.07309931005226
F571-8_rotmod,2.33,69.1,114.57450894505287
F571-8_rotmod,3.44,85.5,107.55394228014146
F571-8_rotmod,3.78,87.1,103.95592383313227
F571-8_rotmod,4.77,105.0,92.41437821031963
F571-8_rotmod,5.44,112.0,86.89113015722607
F571-8_rotmod,6.11,116.0,81.96657184486857
F571-8_rotmod,7.22,124.0,76.94565484808093
F571-8_rotmod,9.33,135.0,69.3732001568329
F571-8_rotmod,11.1,140.0,65.31475790355499
F571-8_rotmod,15.55,144.0,56.566096736472815
