theta_arcmin,gammat_model
0.9044898173380409,0.21759716736609383
1.2445815521635821,0.15048416269793585
1.7130662795441014,0.12254629518569338
2.3571768800953126,0.07705880126415365
3.2436767288752226,0.03905015041043606
4.465945651344648,0.008885915142025691
6.145095248702341,-0.01237577046004342
8.457784925727156,-0.022223617728919894
11.637629829673795,-0.021189660406263123
16.010325245319226,-0.017571165230202593
22.02934655875329,-0.014103341034356743
30.308766125623915,-0.011336392852788583
41.707539563207504,-0.00936003478282212
57.39281734047833,-0.007771551535020368
78.96546114433382,-0.006382967122589693
