R,DS_total
0.3112966226460602,778.4540422060638
0.428345379206537,1274.243974017145
0.5895829195295708,2049.2961685489354
0.811265298610661,3200.604047005759
1.1163703463530517,4855.583183832616
1.5370364281999067,7136.3335535583865
2.1149463046353474,10133.080187960544
2.9109005231195644,13938.509776094264
4.005301985869169,18666.214298991614
5.510244649299509,24514.704953466346
7.581800315919476,31678.17995473679
10.43131315645296,40039.42808008453
14.35440837036096,48835.14434149307
19.75278202115557,56431.18243290882
27.177399776887423,60589.012950565055
