lam,chi2,nu,A1h,b0,b2
0.03,11.275122397739572,12,0.00018822856357426668,0.40589695706989676,0.020437094526049356
0.036653636918070366,11.275555066994864,12,0.00018098770521163387,0.40680319666090015,0.021465118189510194
0.04478296997739106,11.271720721899342,12,0.00016512647280623284,0.40872759272569253,0.023625412522178233
0.05471529072213793,11.259346435104035,12,0.00013291861027063079,0.4125500358132197,0.02795668710211193
0.06685047999986361,11.230903929506821,12,7.121970682755834e-05,0.4196871873285106,0.036384990438377195
0.08167710739045757,11.177302340842612,12,4.814239600360895e-19,0.4271512943649596,0.047746275536777016
0.09979210129360246,11.124781718612299,12,1.3241977229173987e-20,0.42500500766173677,0.05315238890546766
0.12192478160356685,11.101044911819741,12,1.1216024350432346e-26,0.42225878673732087,0.06085589232809952
0.14896622254040554,11.12779779284677,12,2.2419508981722346e-05,0.4166397721829495,0.06802385626102064
0.18200512780174988,11.169587943533832,12,0.00013672603094488144,0.4022939485873241,0.06098732371237243
0.22237166238907785,11.196655510451937,12,0.0002077155342389397,0.3934319049438029,0.06092514409252801
0.2716910058025662,11.217745866616685,12,0.000253158762068374,0.38772085537541806,0.0672400478421931
0.33194878268642053,11.240062836248464,12,0.00028515096273976206,0.383776267496791,0.07988191300751178
0.40557100519945005,11.265974553038758,12,0.0003094846392152353,0.38099273702787884,0.10013634602717926
0.4955217456359158,11.293885862691441,12,0.0003286790136444478,0.37910184928942997,0.13081292769529124
0.6054224716515763,11.320216120886936,12,0.00034376918640255594,0.3779321364025643,0.17671622034540377
0.7396978485985877,11.34167642448685,12,0.0003552241978854806,0.377302798034721,0.24550027718484493
0.9037538790536807,11.356744931886777,12,0.0003634064951791757,0.376996594902756,0.34898212502245657
1.1041955515377104,11.365676774711428,12,0.0003687467100574654,0.37677408724490125,0.5051134949842758
1.3490927610870567,11.369428905993217,12,0.0003717191183731173,0.3763889870634186,0.7410607049816738
1.648305207789401,11.368409870682731,12,0.0003727262712340092,0.3755683766316574,1.0981877338933914
2.013879353882576,11.361417100401876,12,0.00037201661113853775,0.3739510045324327,1.6400902306016645
2.4605334211336696,11.344635807220063,12,0.00036972338236777554,0.37101545757085935,2.4649789465841705
3.006249954767035,11.310887950798087,12,0.00036600552476922474,0.3660453486050236,3.7237215513926634
3.6729998108998814,11.250298982261983,12,0.00036118601416602604,0.35815095479450715,5.64508253001249
4.487626715628844,11.153632917457852,12,0.00035577618862566216,0.34630661402710283,8.571049581202567
5.482928008616413,11.017271221272487,12,0.0003503667078972617,0.3293360234194982,13.008011761658205
6.698975082524823,10.846521262582066,12,0.00034545203167334347,0.3057630003625792,19.704504955090968
8.184726679935508,10.653362466459642,12,0.00034132331333027973,0.2735481816401414,29.7701256934478
10.0,10.453267316692585,12,0.0003380623590114375,0.22971524275880315,44.85551507124657
